upstream,downstream
81,32417
226,47
226,3659
226,25789
812,19652
812,40074
1759,29422
1759,29601
1759,41648
1759,51188
1759,205250
1759,209123
1759,210180
1828,12082
1828,398376
1853,206021
1853,210543
1887,201305
1887,206802
2495,2701
2495,15116
2495,16826
2495,18460
2495,20177
2495,22245
2495,29955
2495,396400
2711,46565
2711,63109
3223,204196
3352,25356
3352,204993
3462,10085
4621,136737
4621,150107
4800,46027
4800,55654
4800,56240
4800,56255
4800,58557
4800,136053
4800,137383
4800,138104
4800,138864
4800,149901
4808,56003
5050,33726
5416,35457
6181,11477
6181,27608
6181,32411
6181,62533
6453,37517
6667,2586
6667,50420
6667,61340
6702,41150
7474,2756
7474,9983
7474,10223
7474,17496
7474,18165
7474,23733
7474,24046
7474,37998
7474,45527
7474,45583
7474,55472
7474,58446
7474,132360
7474,132909
7474,134747
7474,135399
7474,135897
7474,136392
7474,137036
7474,138180
7474,138363
7474,152167
7529,23773
7529,37912
7713,45703
7782,7774
8220,3324
8220,5517
8220,9075
8220,9089
8220,12906
8251,41670
8339,199560
8339,200798
8346,37559
8447,44143
8551,200742
8641,50276
8717,59484
8717,60092
8717,203864
8781,42298
8866,25166
9049,16047
9049,51316
9049,209962
9049,211639
9145,49494
9498,133505
9498,133506
10796,33312
11014,52413
11014,52504
11014,264725
11014,264760
11014,266735
11014,266753
11014,267741
11014,270054
11014,273021
11232,16846
11232,32442
11232,47071
11260,36689
11320,393534
11320,394456
11320,395720
11320,395721
11320,395912
11320,397029
11351,39956
11427,20231
11796,7268
11796,14703
11796,14935
11796,23134
11796,26472
11796,30395
11796,54704
11796,395585
11796,397122
11796,399723
12301,207255
12310,25318
12389,47139
12552,12782
12552,33976
12552,41884
12552,43591
12552,43770
12552,200719
12732,15657
12874,25156
12963,31091
12963,39722
12963,41583
12963,201920
13101,49756
13237,12830
13237,196636
13329,32758
13335,8651
13335,16478
13335,17624
13335,20139
13335,31202
13335,33198
13335,40657
13335,42587
13335,43566
13335,44763
13335,47340
13335,54172
13335,63440
13335,132053
13335,202363
13335,205892
13335,207584
13335,394303
13335,394619
13536,19802
13536,27219
13536,36316
13536,53784
13536,63009
13576,6580
13576,15157
13807,21818
13807,54342
13855,393514
13855,400080
13855,400132
13977,10249
14041,36081
15830,14346
15830,24121
15830,208402
15830,215835
16086,41561
16097,205435
16509,8987
16509,62785
16637,20294
16637,30986
16637,30992
16637,36890
16637,36974
16637,37410
16637,37424
16637,37463
16637,37594
16637,37612
16637,327769
16668,3944
16904,30565
17511,17504
17511,24270
17676,24262
18200,17480
18200,45461
18200,56055
18200,56089
19257,8082
19905,13008
19905,209924
20055,6216
20080,20243
20115,26345
20115,393695
20485,60329
20632,8662
20804,206838
21351,886
21351,2088
21351,2199
21351,2472
22645,36695
22773,10819
22773,11219
22773,22073
22773,33496
22773,395883
23404,20030
23404,395422
25159,57107
25371,9056
25400,198309
27552,22989
27552,395213
28158,52724
28773,8779
29049,15815
29076,3175
29535,35408
29838,19193
29838,396205
30781,13273
30781,38926
30781,203041
30844,30969
30844,37294
30844,56696
31027,198435
31027,207247
32787,12428
32787,16378
32787,19555
32787,24879
32787,25055
32787,47364
32787,197636
34224,210624
36012,4016
36149,22739
36236,394344
40948,396396
41453,44522
42313,204816
42313,207502
42313,212766
42313,216280
42313,216325
44306,12417
46887,167
46887,2641
46887,7455
47176,204342
54048,396513
54825,1907
54825,399137
55002,31467
55002,43354
55140,32695
55685,58503
55685,141612
55685,151994
57119,30919
57344,8877
57344,25147
57344,31083
57344,31440
57344,39135
57344,42049
57344,42347
57344,42844
57344,42956
57344,43944
57344,44598
57344,45007
57344,47849
57344,48584
57344,49041
57344,49233
57344,49699
57344,57895
57344,59763
57344,60656
57344,61996
57344,197304
57344,200459
57344,202968
57344,203095
57344,205665
57344,207172
57344,212588
62214,12594
62214,44460
62214,208408
200094,8726
201776,207967
206841,208479
