upstream,downstream
57,675
81,36850
101,73
101,10430
101,14221
174,3605
174,17400
174,17893
174,30919
237,229
237,36375
271,16462
271,36391
271,393249
293,45
293,50
293,377
293,3152
293,3428
293,3562
293,3671
376,36786
577,7122
577,35911
577,36522
600,159
600,32666
680,5520
680,12816
680,47610
680,56357
680,209335
701,6167
702,1270
719,41993
786,198864
812,35843
812,40383
852,22684
855,603
1103,1104
1103,1133
1136,3265
1136,15879
1136,21286
1136,28685
1221,38622
1221,131999
1299,1759
1299,3249
1299,3301
1299,3308
1299,12849
1680,12517
1680,213168
1741,39484
1742,40127
1767,46149
1828,7381
1853,1205
1853,34883
1853,39837
1916,10881
1916,11242
1916,19200
1916,28609
1916,53164
1916,262857
1916,263410
1916,268005
1916,268118
1916,269224
1916,271354
1930,199155
2018,37501
2027,208069
2119,21331
2119,33885
2119,199791
2119,200168
2119,203426
2152,32
2152,32361
2495,15116
2495,18460
2497,7676
2497,9999
2497,131957
2500,55384
2500,141682
2527,9600
2603,224
2603,15474
2603,58302
2603,200693
2609,37705
2609,327934
2711,21565
2711,29765
2711,397068
2734,10255
2856,212329
2907,2523
2914,4713
3216,20597
3216,43849
3267,2848
3267,9162
3292,24800
3292,29156
3292,49010
3292,198944
3292,203953
3292,208327
3292,209424
3301,50273
3301,206884
3302,5602
3302,31222
3303,43127
3303,57370
3303,208813
3333,2121
3356,8818
3356,9038
3356,21575
3356,22581
3356,38999
3356,57513
3356,201572
3356,263459
3356,266311
3701,3582
3701,4201
3758,9255
3758,9506
3758,133456
3786,17853
4134,4811
4134,4812
4134,4816
4134,4835
4134,17633
4134,17638
4134,17799
4134,17897
4134,23650
4134,23724
4134,38283
4134,45061
4134,58461
4134,58466
4134,58519
4134,58540
4134,58541
4134,58542
4134,58543
4134,58563
4134,58571
4134,58772
4134,63835
4134,63838
4134,131285
4134,131325
4134,132147
4134,132153
4134,132833
4134,133774
4134,133775
4134,133776
4134,134238
4134,134419
4134,134420
4134,134756
4134,134760
4134,134761
4134,134762
4134,134763
4134,134764
4134,134768
4134,134769
4134,134770
4134,134771
4134,134772
4134,134774
4134,135089
4134,136188
4134,136190
4134,136191
4134,136192
4134,136194
4134,136195
4134,137690
4134,137691
4134,137693
4134,137694
4134,137695
4134,137697
4134,137698
4134,137702
4134,137715
4134,138169
4134,138950
4134,138982
4134,138991
4134,139201
4134,139203
4134,139220
4134,139462
4134,139721
4134,139887
4134,140061
4134,140292
4134,140485
4134,140636
4134,140647
4134,141679
4134,141771
4134,142404
4134,142608
4134,146966
4134,148969
4134,149178
4134,149837
4134,149979
4134,150145
4134,151313
4134,151823
4230,22085
4230,28573
4230,61674
4230,263165
4230,264289
4230,265226
4230,265270
4230,265403
4230,266265
4230,266396
4230,267396
4230,267480
4230,268547
4230,269234
4230,269354
4230,269608
4230,269631
4230,270917
4230,271230
4230,271486
4621,3836
4621,132482
4621,132879
4621,137546
4637,1221
4637,4819
4637,38622
4637,131999
4648,4771
4651,3836
4651,9335
4651,131090
4651,132482
4651,132879
4651,135063
4651,137546
4657,55430
4739,4802
4764,9268
4775,132199
4780,9674
4826,9443
4826,9714
4826,17918
4826,38809
4826,38826
4826,45186
4826,45881
4826,133173
4826,134138
4826,139002
4826,139049
4826,399815
4837,4859
4837,10206
4837,17621
4837,17968
4837,133118
4837,133119
4837,134542
4837,134543
4837,135061
4837,136958
4837,138421
4837,139007
4837,152120
5009,33496
5078,395421
5391,8585
5408,8253
5413,8613
5483,5588
5483,43529
5483,59448
5511,3215
5511,9051
5511,12479
5511,30985
5511,37037
5511,39010
5578,39854
5578,48689
5619,13243
5650,26127
5742,25660
6079,4901
6453,24439
6453,133969
6509,3359
6667,719
6667,29432
6667,41993
6677,51896
6758,33874
6762,3269
